year,month,price,Luxury,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,basement,yr_built,yr_renovated,lat,long
2014,7,653450,1,3,2.5,2070,-1,1.0,0,0,C,1540,1,1980,0,47.5936,-122.013
2014,6,710000,1,2,1.5,1640,-1,1.5,0,0,A,1540,1,1916,0,47.6624,-122.325
2014,10,780000,1,4,3.5,3720,-1,1.0,0,1,B,3360,0,2007,0,47.3216,-121.94
2014,12,795000,1,3,3.5,2260,-1,2.0,0,0,B,1880,1,2003,0,47.6422,-122.361
2014,10,399950,0,3,2.0,2050,-1,1.0,0,0,A,1170,1,1960,0,47.7447,-122.328
2014,6,230000,0,2,1.0,940,-1,1.0,0,0,B,930,0,1986,0,47.4866,-122.303
2014,7,290000,0,3,2.5,2000,-1,2.0,0,0,C,2000,0,1993,0,47.3508,-122.057
2014,6,635000,1,3,2.5,3350,-1,2.0,0,0,B,2550,1,2005,0,47.7277,-122.207
2014,6,295000,0,3,2.0,2000,-1,1.0,0,0,C,1300,1,1968,0,47.4346,-122.171
2014,7,1200000,1,4,3.5,3740,-1,2.0,0,1,B,3360,1,2014,0,47.5455,-122.211
2014,11,445000,0,4,2.0,2100,-1,1.5,0,0,A,1720,1,1924,0,47.5299,-122.266
2014,7,215000,0,2,1.0,940,-1,1.0,0,0,B,850,0,1952,0,47.511,-122.348
2014,12,1200000,1,4,3.0,2660,-1,1.0,0,1,B,1930,1,1968,2006,47.616,-122.218
2014,8,296000,0,4,1.5,1370,-1,1.0,0,0,B,1070,1,1953,0,47.4718,-122.323
2014,7,449950,0,3,2.5,1530,-1,2.0,0,0,B,1530,0,1994,0,47.5691,-122.007
2014,9,270000,0,3,1.0,1240,-1,1.0,0,0,C,1240,0,1972,0,47.4579,-122.09
2014,8,396500,0,5,1.5,1360,-1,2.0,0,0,B,1120,1,2003,0,47.6526,-122.384
2014,12,270000,0,3,1.0,1010,-1,1.0,0,0,A,1010,0,1974,0,47.3437,-122.078
2014,10,467000,0,5,2.5,2500,-1,1.0,0,0,B,1850,1,1979,0,47.7564,-122.144
2014,10,240000,0,3,2.5,1500,-1,2.0,0,0,C,1500,0,1992,0,47.3719,-122.091
2014,11,570000,1,3,1.0,2180,-1,2.0,0,0,B,2180,0,1984,0,47.6215,-122.031
2014,5,218000,0,3,2.0,1850,-1,1.0,0,0,B,1320,1,1979,0,47.2975,-122.37
2014,7,424000,0,3,2.5,2200,-1,2.0,0,0,B,2200,0,1985,0,47.3139,-122.116
2014,7,815000,1,3,1.5,1370,-1,1.0,0,0,B,1370,0,1955,0,47.6217,-122.198
2014,7,1014250,1,3,1.0,1640,-1,1.5,-1,0,A,1500,1,1920,0,47.6169,-122.212
2014,9,255000,0,4,2.0,2560,-1,1.0,0,0,C,1350,1,1960,0,47.3326,-122.323
2014,6,902000,1,4,2.5,3030,-1,2.0,0,0,B,3030,0,2003,0,47.6675,-122.176
2014,11,320000,0,2,1.0,1120,-1,1.0,0,1,B,850,1,1929,0,47.5421,-122.378
2014,8,760000,1,4,3.0,2840,-1,1.0,0,1,C,1990,1,1974,0,47.7153,-122.257
2014,11,215000,0,3,1.5,1010,-1,1.0,0,0,B,1010,0,1943,0,47.4925,-122.278
2014,10,850000,1,3,2.0,1400,-1,1.0,0,0,B,1400,0,1951,0,47.6272,-122.209
2014,12,753000,1,4,2.5,3060,-1,2.0,0,0,B,3060,0,2005,0,47.5521,-121.989
2014,9,357000,0,3,2.0,2460,-1,1.0,1,1,B,2460,0,1955,0,47.3811,-122.325
2014,7,281000,0,3,1.0,1300,-1,1.0,0,0,C,1300,0,1959,0,47.524,-121.821
2014,12,625000,1,3,2.5,1860,-1,2.0,0,0,B,1860,0,1993,0,47.6775,-122.165
2014,8,235000,0,2,1.0,940,-1,1.0,0,0,B,870,0,1949,0,47.5186,-122.375
2014,7,750000,1,4,2.5,3080,-1,2.0,0,0,B,3080,0,2008,0,47.7066,-122.112
2014,7,374000,0,4,2.0,2220,-1,1.0,0,0,A,1140,1,1963,0,47.492,-122.166
2014,12,436000,0,3,2.5,1770,-1,1.0,0,0,C,1350,1,1976,0,47.7358,-122.17
2014,8,267000,0,3,1.0,940,-1,1.0,0,0,C,940,0,1942,0,47.5117,-122.378
2014,6,585000,1,3,2.5,2270,-1,2.0,0,0,B,2270,0,1998,0,47.4815,-122.47
2014,12,285950,0,2,1.0,940,-1,1.0,0,0,A,850,0,1942,0,47.5122,-122.374
2014,6,664950,1,5,3.0,3190,-1,1.0,0,1,B,1890,1,2013,0,47.509,-122.24
2014,7,499900,0,4,3.0,2180,-1,2.0,0,0,C,2180,0,1968,0,47.5338,-122.033
2014,8,399000,0,3,2.0,2100,-1,1.0,0,0,B,2100,0,2010,0,47.6907,-121.917
2014,6,215000,0,3,1.0,1320,-1,1.0,0,0,C,1320,0,1967,0,47.2787,-122.205
2014,8,357000,0,5,2.5,2990,-1,2.0,0,0,B,2990,0,2015,0,47.7384,-122.348
2014,10,420000,0,3,1.5,1050,-1,1.0,0,0,C,850,1,1950,0,47.6578,-122.39
2014,5,492000,0,4,2.0,1640,-1,2.0,0,0,B,1640,0,1907,1983,47.6662,-122.365
2014,8,297000,0,3,2.5,1840,-1,2.0,0,0,B,1840,0,1994,0,47.267,-122.312
2014,9,575000,1,3,2.0,1720,-1,1.0,-1,0,A,860,1,1906,0,47.6782,-122.314
2014,5,1200000,1,2,2.5,2220,-1,2.0,0,0,B,2220,0,2000,0,47.6364,-122.28
2014,9,244500,0,2,2.0,1300,-1,1.0,0,0,B,850,1,1939,0,47.4989,-122.329
2014,9,711000,1,4,2.5,2095,-1,1.5,0,0,A,1295,1,1910,0,47.5838,-122.39
2014,10,400000,0,4,2.5,3140,-1,2.0,0,0,C,3140,0,1977,0,47.3863,-122.156
2014,10,399950,0,2,2.5,1140,-1,2.0,0,0,B,1010,1,1999,0,47.659,-122.346
2014,10,830000,1,5,2.5,2710,-1,1.0,0,0,A,1910,1,1959,0,47.5958,-122.175
2014,9,727500,1,3,2.0,2660,-1,1.5,0,1,B,1940,1,1910,0,47.5829,-122.382
2014,5,642000,1,4,2.5,2560,-1,2.0,0,0,B,2560,0,1992,0,47.5717,-121.991
2014,9,650000,1,4,2.5,2500,-1,2.0,0,0,B,2500,0,2001,0,47.6922,-122.174
2014,10,717000,1,4,2.5,2540,-1,2.0,0,0,B,2540,0,2009,0,47.7073,-122.112
2014,12,292000,0,3,2.0,1320,-1,1.0,0,0,B,1320,0,1988,0,47.4838,-122.33
2014,5,310000,0,3,1.0,1010,-1,1.0,0,0,C,1010,0,1973,0,47.5324,-121.763
2014,11,700000,1,5,3.5,2400,-1,2.0,0,0,C,1780,1,1928,0,47.6094,-122.291
2014,6,337000,0,4,3.0,2240,-1,2.0,0,0,B,2240,0,1992,0,47.7348,-122.295
2014,6,465250,0,5,2.0,1940,-1,1.5,0,0,B,1940,0,1957,0,47.7751,-122.38
2014,11,550000,1,4,2.0,2550,-1,1.0,0,0,B,1890,1,1982,0,47.7707,-122.123
2014,12,1200000,1,4,3.5,3740,-1,2.0,0,0,B,3360,1,2008,0,47.6374,-122.288
